Timestamp,Milliseconds,Latitude,Longitude,Altitude
2019-12-10 21:13:04,2,47.6795781,9.183645,0.0
2019-12-10 21:13:04,101,47.6795781,9.183645,0.0
2019-12-10 21:13:04,201,47.6795781,9.183645,0.0
2019-12-10 21:13:04,301,47.6795781,9.183645,0.0
2019-12-10 21:13:05,401,47.6795781,9.183645,0.0
2019-12-10 21:13:05,501,47.6795781,9.183645,0.0
2019-12-10 21:13:05,601,47.6795781,9.183645,0.0
2019-12-10 21:13:05,702,47.6795781,9.183645,0.0
2019-12-10 21:13:05,801,47.6795781,9.183645,0.0
2019-12-10 21:13:05,901,47.6795781,9.183645,0.0
2019-12-10 21:13:05,1001,47.6795781,9.183645,0.0
2019-12-10 21:13:05,1101,47.6795781,9.183645,0.0
2019-12-10 21:13:05,1201,47.6795781,9.183645,0.0
2019-12-10 21:13:05,1301,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1401,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1502,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1601,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1701,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1801,47.6795781,9.183645,0.0
2019-12-10 21:13:06,1901,47.6795781,9.183645,0.0
2019-12-10 21:13:06,2001,47.6795781,9.183645,0.0
2019-12-10 21:13:06,2101,47.6795781,9.183645,0.0
2019-12-10 21:13:06,2201,47.6795781,9.183645,0.0
2019-12-10 21:13:06,2302,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2401,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2501,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2601,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2702,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2801,47.6795781,9.183645,0.0
2019-12-10 21:13:07,2901,47.6795781,9.183645,0.0
2019-12-10 21:13:07,3001,47.6795781,9.183645,0.0
2019-12-10 21:13:07,3101,47.6795781,9.183645,0.0
2019-12-10 21:13:07,3202,47.6795781,9.183645,0.0
2019-12-10 21:13:07,3301,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3401,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3501,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3601,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3701,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3801,47.6795781,9.183645,0.0
2019-12-10 21:13:08,3901,47.6795781,9.183645,0.0
2019-12-10 21:13:08,4002,47.6795781,9.183645,0.0
2019-12-10 21:13:08,4101,47.6795781,9.183645,0.0
2019-12-10 21:13:08,4201,47.6795781,9.183645,0.0
2019-12-10 21:13:08,4301,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4401,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4501,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4601,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4702,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4801,47.6795781,9.183645,0.0
2019-12-10 21:13:09,4901,47.6795781,9.183645,0.0
2019-12-10 21:13:09,5001,47.6795781,9.183645,0.0
2019-12-10 21:13:09,5101,47.6795781,9.183645,0.0
2019-12-10 21:13:09,5201,47.6795781,9.183645,0.0
2019-12-10 21:13:09,5301,47.6795781,9.183645,0.0
2019-12-10 21:13:10,5401,47.6795781,9.183645,0.0
2019-12-10 21:13:10,5501,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,5602,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,5701,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,5801,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,5901,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,6002,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,6101,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,6201,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:10,6301,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6401,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6501,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6601,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6701,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6802,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,6901,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,7001,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,7101,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,7201,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:11,7301,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7401,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7501,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7602,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7701,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7801,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,7901,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,8001,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,8101,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,8202,47.6795396,9.1837217,473.1000061035156
2019-12-10 21:13:12,8301,47.6795396,9.1837217,473.1000061035156
