Timestamp,Milliseconds,X,Y,Z
2019-12-13 17:05:46,1,0.107739076,3.0382419,10.503363
2019-12-13 17:05:46,101,2.0135236,3.5434184,8.367735
2019-12-13 17:05:46,201,-2.3463178,4.4795513,8.731653
2019-12-13 17:05:47,301,-0.9959879,4.5513773,8.056489
2019-12-13 17:05:47,401,-1.6543933,5.1810527,8.334216
2019-12-13 17:05:47,502,-2.0231004,5.887342,7.503428
2019-12-13 17:05:47,601,-2.707842,5.60722,6.227319
2019-12-13 17:05:47,701,-1.9991584,5.3103395,8.133103
2019-12-13 17:05:47,801,-2.0015526,5.3247046,7.955932
2019-12-13 17:05:47,901,-1.6112977,5.3007627,8.494628
2019-12-13 17:05:47,1001,-1.7860745,5.2480903,7.965509
2019-12-13 17:05:47,1101,-1.6903064,5.1930237,7.599196
2019-12-13 17:05:47,1202,-1.4317327,5.2768207,7.9631147
2019-12-13 17:05:48,1301,-2.0925324,5.365406,7.560889
2019-12-13 17:05:48,1401,-2.3870192,5.4444146,7.551312
2019-12-13 17:05:48,1502,-2.3175871,5.4085016,7.678205
2019-12-13 17:05:48,1601,-2.0087352,5.2049947,7.433996
2019-12-13 17:05:48,1701,-2.0135236,5.2145715,7.9583263
2019-12-13 17:05:48,1801,-2.231396,5.377377,7.5944076
2019-12-13 17:05:48,1901,-2.0853498,4.915296,8.228871
2019-12-13 17:05:48,2001,-2.0231004,5.2121773,8.018182
2019-12-13 17:05:48,2101,-1.9081788,4.9679685,8.204929
2019-12-13 17:05:48,2201,-1.9967642,5.080496,7.867347
2019-12-13 17:05:49,2302,-1.8507179,5.00867,7.9391727
2019-12-13 17:05:49,2401,-1.8148049,5.056554,8.461109
2019-12-13 17:05:49,2501,-1.4221559,4.84347,8.106767
2019-12-13 17:05:49,2601,-0.7661445,4.51307,8.255207
2019-12-13 17:05:49,2701,-0.37588966,4.333505,8.4826565
2019-12-13 17:05:49,2801,-0.038307227,3.9121256,9.165004
2019-12-13 17:05:49,2901,-1.5945383,3.8187518,9.495404
2019-12-13 17:05:49,3002,0.04070143,3.4883518,9.773131
2019-12-13 17:05:49,3101,-0.82599956,4.2760444,8.865729
2019-12-13 17:05:49,3201,-1.292869,4.747702,9.066842
2019-12-13 17:05:50,3301,-0.25378537,3.9791632,8.350976
2019-12-13 17:05:50,3401,-1.6759412,3.3638535,9.445126
2019-12-13 17:05:50,3501,-0.33758244,3.6631286,8.374918
2019-12-13 17:05:50,3601,-1.520318,3.2225955,9.619903
2019-12-13 17:05:50,3701,-1.4221559,3.478775,8.774749
2019-12-13 17:05:50,3802,-1.0414777,3.9312792,8.597578
2019-12-13 17:05:50,3901,-0.7613561,4.209007,8.212111
2019-12-13 17:05:50,4001,-0.8714894,4.1036615,8.868123
2019-12-13 17:05:50,4101,-0.93134445,4.280833,8.65025
2019-12-13 17:05:50,4201,-1.091756,4.6232033,8.9040365
2019-12-13 17:05:51,4301,-0.29209262,4.417302,8.499416
2019-12-13 17:05:51,4401,-0.7398083,4.345476,7.716512
2019-12-13 17:05:51,4501,-1.0271125,4.429273,7.678205
2019-12-13 17:05:51,4602,-1.1420342,4.498705,8.954314
2019-12-13 17:05:51,4701,-0.81881696,4.654328,8.846576
2019-12-13 17:05:51,4801,-1.1252748,4.3598413,8.6334915
2019-12-13 17:05:51,4901,-0.85473,4.3526587,8.3868885
2019-12-13 17:05:51,5001,-0.79487497,4.367024,7.7069354
2019-12-13 17:05:51,5101,0.1604115,4.0414124,8.686164
2019-12-13 17:05:51,5201,-0.29209262,3.964798,8.200141
2019-12-13 17:05:52,5302,-0.08379706,3.9624038,8.451532
2019-12-13 17:05:52,5401,-0.5722142,3.6056678,9.200917
2019-12-13 17:05:52,5501,-0.16280572,3.6248214,9.205706
2019-12-13 17:05:52,5601,0.20350714,3.9839516,9.533711
2019-12-13 17:05:52,5701,0.4141969,4.0701427,8.908825
2019-12-13 17:05:52,5801,-0.48841715,3.7349546,8.331821
2019-12-13 17:05:52,5901,0.04309563,3.6032736,9.157822
2019-12-13 17:05:52,6002,0.20590134,3.4500446,9.0237465
2019-12-13 17:05:52,6101,0.045489833,3.2968156,8.990228
2019-12-13 17:05:52,6201,-0.31124622,2.9376855,9.184157
2019-12-13 17:05:53,6301,-0.31603462,3.2680852,9.083601
2019-12-13 17:05:53,6401,-0.33758244,3.2872388,9.0429
2019-12-13 17:05:53,6501,0.25378537,3.9097314,8.714894
2019-12-13 17:05:53,6601,0.28491,4.177882,8.207323
2019-12-13 17:05:53,6702,-0.37349546,3.8498764,9.150639
2019-12-13 17:05:53,6801,-0.34476504,4.110844,8.549694
2019-12-13 17:05:53,6901,-0.29448682,4.297592,8.63828
2019-12-13 17:05:53,7001,-0.45729253,4.039018,8.872911
2019-12-13 17:05:53,7101,-0.20111294,4.0318356,8.401254
2019-12-13 17:05:53,7201,-0.4357447,4.1635165,8.224083
2019-12-13 17:05:54,7301,-0.79008657,3.9336734,9.251195
2019-12-13 17:05:54,7401,0.11492168,3.976769,7.9583263
2019-12-13 17:05:54,7501,-0.17238252,4.012682,8.477868
2019-12-13 17:05:54,7602,-0.33758244,4.1252093,8.813056
2019-12-13 17:05:54,7701,-0.49320555,4.036624,8.892065
2019-12-13 17:05:54,7801,-0.34476504,3.9097314,8.896853
2019-12-13 17:05:54,7901,-0.36870706,3.9097314,8.487445
2019-12-13 17:05:54,8001,-0.18195933,3.9671922,8.4347725
2019-12-13 17:05:54,8101,-0.12689269,3.9121256,8.401254
2019-12-13 17:05:54,8202,-0.21547815,4.0078936,8.736442
2019-12-13 17:05:55,8301,-0.44532153,3.7924154,8.726865
2019-12-13 17:05:55,8401,-0.2657564,3.7684734,8.738836
2019-12-13 17:05:55,8501,-0.51954174,3.8187518,8.887277
